affiliation,result
"Open University of Catalonia Barcelona, Spain","Barcelona, Catalonia, Spain"
"Gongqingcheng Jiangxi, China","China, Jiangxi, Gongqingcheng City, Gongqingcheng, Chashan Subdistrict, 发展大道"
"The University of North Texas Denton, Texas, USA","E University Dr, Denton, TX, United States of America"
"Information Construction and Service Center Northwest Mizu University, Lanzhou, China","Lanzhou, Gansu Sheng, China"
"Yunnan Technology and Business University, Kunming, China","Kunming, Yunnan, China"
"Key Laboratory of Industrial Equipment Quality Big Data MIIT The 5th Electronics Research Institute, MIIT, Guangzhou, China","Key Laboratory of Industrial Equipment Quality Big Data MIIT The 5th Electronics Research Institute, MIIT, Guangzhou, China"
"MIIT Guangzhou, China","Guangzhou, Guangdong, China"
China Electronic Product Reliability and Environmental Testing Research Institute (CEPREI),China Electronic Product Reliability and Environmental Testing Research Institute (CEPREI)
"Key Laboratory of Industrial Equipment Quality Big Data MIIT, Guangzhou, China","Guangzhou, Guangdong, China"
"Beijing Key Lab of Green Development Decision Based on Big Data, Beijing, China","Beijing Key Lab of Green Development Decision Based on Big Data, Beijing, China"
"Beijing Information Science & Technology University Beijing, China","Beijing, Beijing Shi, China"
"Dong-A University Busan, Korea","Busan, South Korea"
"SDS Ltd Busan, Korea","Busan, South Korea"
"ILP, Seoul National University of Science & Technology","ILP, Seoul National University of Science & Technology"
"Cooperate Lottery Institute, Seoul, South Korea","Seoul, South Korea"
"SeoulTech Unv., Seoul, South Korea","Seoul, South Korea"
"Master of System Engineering Institute of Lottery Policy, Seoul, South Korea","Seoul, South Korea"
Hopson Group Co. LTD,Hopson Group Co. LTD
Wilfrid Laurier University,"Wilfrid Laurier University, 75 University Avenue West, Waterloo, ON N2L 3C5, Canada"
"Pace University White Plains, New York","The College of White Plains of Pace University, Crane Avenue, City of White Plains, NY 10603, United States of America"
"Beijing Guodiantong Network Technology Co. Ltd., Beijing, China","Beijing, Beijing Shi, China"
"Toronto Metropolitan University Toronto, Canada","Toronto, ON, Canada"
"York University Toronto, ON, Canada","Toronto, ON, Canada"
"Big data center of State Grid Corporation of China, China",China
"Big Data Center of State Grid Corporation of China Beijing, China","Beijing, Beijing Shi, China"
"University of Amsterdam Amsterdam, The Netherlands","University of Amsterdam, Spui, 1012 XA Amsterdam, Netherlands"
"University of Amsterdam, Amsterdam, Netherlands","University of Amsterdam, Spui, 1012 XA Amsterdam, Netherlands"
"Department of Computing, The Hong Kong Polytechnic University, China",China
"National School of Applied Sciences (ENSA) Ibn Tofail University, Kenitra, Morocco","Kenitra, Morocco"
"Associated Unit to CNRST (URAC 29) Faculty of Sciences, Mohammed V University, Rabat, Morocco","Rabat, Morocco"
"Zhongshan PoolNet Technology Co. Ltd, China",China
"Shanghai Key Laboratory of Data Science Fudan University, China",China
"Escuela Politécnica Hyperspectral Computing Laboratory, University of Extremadura, Cáceres, Spain","Cáceres, Extremadura, Spain"
"University of Iceland Reykjavik 102, Iceland","University of Iceland, Fífilsgata, 101 Reykjavik, Iceland"
"University of Chinese Academy of Sciences Beijing, China","100101 China, Beijing, Chaoyang District, 林萃东路, University of Chinese Academy of Sciences (Olympic Village Campus)"
"Institute of Microelectronics Chinese Academy of Sciences (IMECAS), Beijing, China","Beijing, Beijing Shi, China"
"Shanghai Key Laboratory of Data Science Fudan University, Shanghai, China","Shanghai, Shanghai Shi, China"
"School of Computer Science Fudan University, China",China
"Space Star Technology Company Ltd. Beijing, China","Beijing, Beijing Shi, China"
"Party school of Liaoning provincial Party committee Shenyang, P.R. China",China
"CINI Bari, Italy","Bari, Italy"
"American University Washington, DC, USA","American University, 4400 Massachusetts Avenue Northwest, Washington, DC 20016, United States of America"
"University of Bari Aldo Moro Bari, Italy","University of Bari ""Aldo Moro"", 70015 Noci BA, Italy"
"Consorzio Interuniversitario Nazionale per l' Informatica - CINI Università degli Studi Aldo Moro di Bari, Bari, Italy","Consorzio Interuniversitario Nazionale per l' Informatica - CINI Università degli Studi Aldo Moro di Bari, Bari, Italy"
"Hainan Province School of Administration Haikou, China","Haikou, Hainan, China"
"Faculty of Humanities Hainan Academy of Governance, Haikou, China","Haikou, Hainan, China"
"University of Technology Taiyuan, China","Taiyuan, Shanxi Sheng, China"
"Taiyuan University of Science and Technology Taiyuan, China","Taiyuan, Shanxi Sheng, China"
"Taiyuan University of Technology Taiyuan, China","Taiyuan, Shanxi Sheng, China"
"Winnipeg MB, CA","Winnipeg, MB, Canada"
"University of Northern British Columbia Prince George, BC, Canada","University of Northern British Columbia, University Way, Prince George, BC V2M 5K7, Canada"
"University of PAP Xi’an, China","Xi'an, Shaanxi, China"
"Tianjin University of Commerce Tianjin, China","Tianjin Shi, China"
"Cardiff Metropolitan University Cardiff, UK","Cardiff Metropolitan University, Western Avenue, Cardiff, CF5 2YB, United Kingdom"
"Brunel University London London, UK","Brunel University London, Nursery Lane, London, UB8 3PG, United Kingdom"
"Microsoft, Redmond, WA","Redmond, Washington, United States of America"
"Simon Fraser University Burnaby, BC, Canada","Simon Fraser University, 8888 Naheeno Trail, Burnaby, BC V5A 1S6, Canada"
"University of Toronto Toronto, ON, Canada","University of Toronto, Spadina Avenue, Old Toronto, ON M5S 1J6, Canada"
"Army Academy of Amorced Forces Beijing, China","Beijing, Beijing Shi, China"
"Xinyang Industrial School Xinyang, China","Xinyang, Henan Sheng, China"
"31689 of The Chinese People's Liberation Army Troops, Siping, China","Siping, Jilin Sheng, China"
"66133 of The Chinese People's Liberation Army Troops, Beijing, China","Beijing, Beijing Shi, China"
"Esri, Inc.","Esri Building M, 371 New York Street, Redlands, CA 92373, United States of America"
"Wuhan University Wuhan, China","430072 China, Hubei, Hongshan District, 珞南街道, 八一路 299号, Wuhan University"
"Chuxiong Normal University Chuxiong, China","Chuxiong, Yunnan, China"
"ChuXiong Normal University chuxiong, china","Chuxiong, Yunnan, China"
"Malaysia City University, Malaysia","City University Malaysia, Jalan Bakar Batu, Taman Perbadanan Islam, 80150 Johor Bahru, Johor, Malaysia"
"Binzhou Vocational College, Shandong, China","Shandong Sheng, China"
"Yuzhang Normal University Nanchang, China","Nanchang, Jiangxi Sheng, China"
"Graphic Era Hill University Graphic Era Deemed to be University Dehradun, India","University, Lafayette County, Mississippi, United States of America"
"Graphic Era Deemed to be University Dehradun, Uttarakhand, India","Graphic Era (Deemed to be) University, 566/6, Bell Road, Dehradun District, Dehradun - 248001, Uttarakhand, India"
"Tula’s Institute Dehradun, India","Tula's Institute, selagate, Dehradun District, - 248011, Uttarakhand, India"
"The University of Texas Health Science Center at Houston Houston, TX, USA","Universal City, Texas, United States of America"
"West China Hospital Sichuan University, Chengdu, China","610016 China, Sichuan, Chengdu, Yulin, 国学巷 37, West China Hospital"
"School of Biomedical Informatics The University of Texas Health Science Center at Houston, Houston, TX, USA","Houston, Texas, United States of America"
"Sun Yat-sen University Guangzhou, China","510275 China, Guangdong Province, Haizhu District, Xingang, Xingang West Road 135, Sun Yat-sen University (South Campus)"
"Ningbo University Ningbo, China","315201 China, Zhejiang, Jiangbei District, 孔浦街道, 庄市大道, Ningbo University"
"Ltd. Ningbo Branch Ningbo, China","Ningbo Rail Transit Group Co., Ltd. Operation Branch, Yinzhou District, Zhejiang, China"
"Gujarat Technological University, Ahmedabad","Gujarat Technological University, SH71, Ahmedabad District, Ahmedabad - 382424, Gujarat, India"
"University of Delhi New Delhi, India","University of Delhi South Campus, South Campus (internal Road), Moti Bagh, New Delhi - 110021, Delhi, India"
"Politics &Law Yunnan Normal Univ., Kunming, China","Kunming, Yunnan, China"
"Aerospace Engineering University Beijing, China","Beijing, Beijing Shi, China"
"Space Engineering University Beijing, China","101422 China, Beijing, Huairou District, 雁栖镇九路, Space Engineering University"
"Guangzhou International Economics College Guangzhou, China","Guangzhou, Guangdong, China"
"Foshan University Foshan City, Guangdong Province, China","528200 China, Guangdong Province, Chancheng District, Zhangcha, 五峰四路, Foshan University"
"Foshan University Guangdong Province, China","528200 China, Guangdong Province, Chancheng District, Zhangcha, 五峰四路, Foshan University"
"Information communication branch of Meishan power supply company of State Grid Sichuan Electric Power Company, Meishan, China","Sichuan Sheng, China"
"State Grid SiChuan Electric Power Research Institute, Chengdu, China","Chengdu, Sichuan Sheng, China"
"State Grid SiChuan Electric Power Company, Chengdu, China","Chengdu, Sichuan Sheng, China"
"Henan University of Science and Technology Luoyang, China","Luoyang, Luoyang Shi, China"
"Hongta Group Zhaotong Cigarette Factory, Zhaotong, China","Zhaotong, Yunnan, China"
"Chongqing University of Posts and Telecommunications Chongqing, China","400065 China, Chongqing, Nan'an District, Huangjueya, Chongwen Road 2, Chongqing University of Posts and Telecommunications"
"School of Computer Science and Technology, Chongqing University of Posts and Telecommnications, China","School of Computer Science and Technology, Chongqing University of Posts and Telecommnications, China"
"School of Computer Science and Technology, Chongqing University of Posts and Telecommunications, China","School of Computer Science and Technology, Chongqing University of Posts and Telecommunications, China"
"University of Bahrain Sakheer, Bahrain",Bahrain
"Chongqing Three Gorges Vocational College, Chongqing, China","Chongqing Shi, China"
"Faculty of Engineering İnönü University, Turkey",Turkey
"Virginia Commonwealth University Richmond, VA, USA","Virginia Commonwealth University, 907 Floyd Avenue, Richmond, VA 23284, United States of America"
"Rochester Institute of Technology Rochester, NY, USA","Rochester Institute of Technology, 1 Lomb Memorial Drive, City of Rochester, NY 14623, United States of America"
"CED Engineering Sciences Hassan II University, Casablanca, Morocco","Casablanca, Morocco"
"Université Hassan II de Casablanca, Casablanca, Morocco","Université Hassan II Ain Chock جامعة الحسن الثاني عين الشق, Boulevard HH 27, 20232 Casablanca, Morocco"
"CED Engineering Sciences Hassan II University Casablanca, Morocco","Casablanca, Morocco"
"CED ENSEM Higher School of Technology Hassan II University Casablanca, Morocco","Casablanca, Morocco"
"Academy of Marxism Xi'an Medical University, Xi'an, China","Xi'an, Shaanxi, China"
"School of Health Services Management Xi'an Medical University, Xi'an, China","Xi'an, Shaanxi, China"
"Jiangxi Science and Technology Normal University Nan Chang, China","Nanzhang Chengguanzhen, Hubei, China"
"Jiang Xi Science and Technology Normal University NanChang, China","Nanchang, Jiangxi Sheng, China"
"Jiangsu Shipping College Nantong, China","Nantong, Jiangsu Sheng, China"
"Bejing Academy of Emergency Management Science and Technology, Beijing, China","Beijing, Beijing Shi, China"
"Beijing University of Civil Engineering and Architecture Beijing, China","102401 China, Beijing, Daxing District, 1号楼出口, Beijing University of Civil Engineering and Architecture"
"Library of Wuhan University of Technology, Wuhan, China","Wuhan, Hubei, China"
"Mersin Üniversitesi Mersin, Türkiye","Mersin Üniversitesi Kampüs Alanı, 33150 Yenişehir, Turkey"
"University of Arkansas at Little Rock, Little Rock, AR","University of Arkansas at Little Rock (UALR), 2801 South University Avenue, Little Rock, AR 72204, United States of America"
"Shaanxi Vocational & Technical College Xi’an, China","Xi'an, Shaanxi, China"
"Manchester Metropolitan University, Manchester, UK","Archway Hall, 20 Bonsall Street, Manchester, M15 6HJ, United Kingdom"
"Manchester Metropolitan University Manchester, United Kingdom","Archway Hall, 20 Bonsall Street, Manchester, M15 6HJ, United Kingdom"
"Manchester Metropolitan University Manchester, U.K.","Archway Hall, 20 Bonsall Street, Manchester, M15 6HJ, United Kingdom"
"Nanjing Normal University Nanjing, China","210046 China, Jiangsu, Qixia District, Xianlin, Xuelin Road, Nanjing Normal University (North Campus)"
"Sofia University “St.Kliment Ohridski” Sofia, Bulgaria","Sofia University St. Kliment Ohridski, bul. Tsar Osvoboditel 15, Centre, Sofia 1504, Bulgaria"
"Software University ""St. Kliment Ohridski"" Sofia, Bulgaria","Sofiya, Bulgaria"
"University Teknologi MARA Cawangan Selangor, Kampus Puncak Alam, Selangor, Malaysia","Kuala Selangor, Selangor, Malaysia"
"International Islamic University Malaysia Selangor, Malaysia","International Islamic University Malaysia, Jalan Gombak, Taman Permai Jaya, 53100 Selayang Municipal Council, Selangor, Malaysia"
"Northwest Agriculture and Forestry University Xianyang, China","Xianyang, Shaanxi, China"
